STATION,PLATFORM,SERVING LINE,ORIGIN,DESTINATION,CONNECTION,DURATION,TRANSPORT_MODE,DELAY,STATUS
PAYERSTRASSE,Payerstraße::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,34,Stadtbahn,0,On time
EBITZWEG,Ebitzweg::3,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,7,Bus,0,On time
MINERALBÄDER,Mineralbäder::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,31,Stadtbahn,0,On time
ELBESTRASSE,Elbestraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),7,Stadtbahn,0,On time
EBITZWEG,Ebitzweg::4,U13E,Eszet,Bad Cannstatt Wilhelmsplatz,U13E:Eszet-Bad Cannstatt Wilhelmsplatz,,Bus,0,On time
MINERALBÄDER,Mineralbäder::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,13,Stadtbahn,0,On time
ELBESTRASSE,Elbestraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,37,Stadtbahn,1,Delayed
GEROKSRUHE,Geroksruhe::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,36,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),17,Stadtbahn,0,On time
ELBESTRASSE,Elbestraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),7,Stadtbahn,0,On time
GEROKSRUHE,Geroksruhe::1,U15,Stammheim,Ruhbank (Fernsehturm),U15:Stammheim-Ruhbank (Fernsehturm),4,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,24,Stadtbahn,0,On time
ELBESTRASSE,Elbestraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,37,Stadtbahn,0,On time
KASERNE_MÖHRINGEN,Kaserne Möhringen::4,73,Neuhausen (F) Brühlsiedlung,Degerloch ZOB,73:Neuhausen (F) Brühlsiedlung-Degerloch ZOB,11,Bus,0,On time
GEROKSRUHE,Geroksruhe::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,36,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::2,U1,Vaihingen Bf,Neugereut,U1:Vaihingen Bf-Neugereut,13,Stadtbahn,0,On time
GEROKSRUHE,Geroksruhe::1,U15,Stammheim,Ruhbank (Fernsehturm),U15:Stammheim-Ruhbank (Fernsehturm),4,Stadtbahn,0,On time
KASERNE_MÖHRINGEN,Kaserne Möhringen::3,73,Degerloch ZOB,Neuhausen,73:Degerloch ZOB-Neuhausen,32,Bus,0,On time
MINERALBÄDER,Mineralbäder::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,26,Stadtbahn,0,On time
FREIBERGSTRASSE,Freibergstraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),8,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,31,Stadtbahn,0,On time
SILBERWALD,Silberwald::1,U7,Mönchfeld,Nellingen Ostfildern,U7:Mönchfeld-Nellingen Ostfildern,16,Stadtbahn,0,On time
FREIBERGSTRASSE,Freibergstraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,36,Stadtbahn,1,Delayed
MINERALBÄDER,Mineralbäder::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,13,Stadtbahn,0,On time
FREIBERGSTRASSE,Freibergstraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),8,Stadtbahn,0,On time
SILBERWALD,Silberwald::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,37,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),17,Stadtbahn,0,On time
FREIBERGSTRASSE,Freibergstraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,36,Stadtbahn,0,On time
SILBERWALD,Silberwald::1,U7,Mönchfeld,Nellingen Ostfildern,U7:Mönchfeld-Nellingen Ostfildern,16,Stadtbahn,0,On time
STECKFELD,Steckfeld::4,73,Neuhausen (F) Brühlsiedlung,Degerloch ZOB,73:Neuhausen (F) Brühlsiedlung-Degerloch ZOB,13,Bus,0,On time
MINERALBÄDER,Mineralbäder::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,24,Stadtbahn,0,On time
SILBERWALD,Silberwald::2,U8,Nellingen Ostfildern,Vaihingen Bf,U8:Nellingen Ostfildern-Vaihingen Bf,20,Stadtbahn,0,On time
STECKFELD,Steckfeld::3,73,Degerloch ZOB,Neuhausen,73:Degerloch ZOB-Neuhausen,30,Bus,0,On time
MINERALBÄDER,Mineralbäder::2,U1,Vaihingen Bf,Neugereut,U1:Vaihingen Bf-Neugereut,13,Stadtbahn,0,On time
SILBERWALD,Silberwald::1,U8,Vaihingen Bf,Nellingen Ostfildern,U8:Vaihingen Bf-Nellingen Ostfildern,16,Stadtbahn,0,On time
MÜNSTER_RATHAUS,Münster Rathaus::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,35,Stadtbahn,0,On time
MINERALBÄDER,Mineralbäder::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,26,Stadtbahn,0,On time
MÜNSTER_RATHAUS,Münster Rathaus::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),9,Stadtbahn,0,On time
LEIPZIGER_PLATZ,Leipziger Platz::4,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,24,Bus,0,On time
MÜNSTER_RATHAUS,Münster Rathaus::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,35,Stadtbahn,1,Delayed
WALDAU,Waldau::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,34,Stadtbahn,0,On time
LEIPZIGER_PLATZ,Leipziger Platz::3,44,Killesberg,Westbahnhof (Schleife),44:Killesberg-Westbahnhof (Schleife),4,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,14,Bus,0,On time
MÜNSTER_RATHAUS,Münster Rathaus::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),9,Stadtbahn,0,On time
WALDAU,Waldau::1,U7,Mönchfeld,Nellingen Ostfildern,U7:Mönchfeld-Nellingen Ostfildern,19,Stadtbahn,0,On time
LEIPZIGER_PLATZ,Leipziger Platz::4,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,24,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U13E,Eszet,Bad Cannstatt Wilhelmsplatz,U13E:Eszet-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
WALDAU,Waldau::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,34,Stadtbahn,0,On time
LEIPZIGER_PLATZ,Leipziger Platz::3,44,Killesberg,Westbahnhof (Schleife),44:Killesberg-Westbahnhof (Schleife),4,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,9,Bus,0,On time
WALDAU,Waldau::1,U8,Vaihingen Bf,Nellingen Ostfildern,U8:Vaihingen Bf-Nellingen Ostfildern,19,Stadtbahn,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
MÜNSTER_VIADUKT,Münster Viadukt::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,34,Stadtbahn,0,On time
WALDAU,Waldau::2,U8,Nellingen Ostfildern,Vaihingen Bf,U8:Nellingen Ostfildern-Vaihingen Bf,17,Stadtbahn,0,On time
MÜNSTER_VIADUKT,Münster Viadukt::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),10,Stadtbahn,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,14,Bus,0,On time
WALDAU,Waldau::1,U7,Mönchfeld,Nellingen Ostfildern,U7:Mönchfeld-Nellingen Ostfildern,19,Stadtbahn,0,On time
SENEFELDERSTRASSE,Senefelderstraße::3,44,Killesberg,Westbahnhof (Schleife),44:Killesberg-Westbahnhof (Schleife),8,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,9,Bus,0,On time
MÜNSTER_VIADUKT,Münster Viadukt::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,34,Stadtbahn,1,Delayed
SENEFELDERSTRASSE,Senefelderstraße::4,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,21,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
MÜNSTER_VIADUKT,Münster Viadukt::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),10,Stadtbahn,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,14,Bus,0,On time
BERGHEIMER_HOF,Bergheimer Hof::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,6,Stadtbahn,0,On time
SENEFELDERSTRASSE,Senefelderstraße::3,44,Killesberg,Westbahnhof (Schleife),44:Killesberg-Westbahnhof (Schleife),8,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U13E,Eszet,Bad Cannstatt Wilhelmsplatz,U13E:Eszet-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
BERGHEIMER_HOF,Bergheimer Hof::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,54,Stadtbahn,0,On time
SENEFELDERSTRASSE,Senefelderstraße::4,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,21,Bus,0,On time
WESERSTRASSE,Weserstraße::3,56,Münster Bf,Rosensteinbrücke,56:Münster Bf-Rosensteinbrücke,12,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
BERGHEIMER_HOF,Bergheimer Hof::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,6,Stadtbahn,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,14,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,9,Bus,0,On time
WOLFBUSCH,Wolfbusch::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,7,Stadtbahn,0,On time
FRIEDENSTRASSE,Friedenstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,22,Bus,0,On time
UFF_KIRCHHOF,Uff-Kirchhof::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,4,Bus,0,On time
WOLFBUSCH,Wolfbusch::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,53,Stadtbahn,0,On time
KRAFTWERK_MÜNSTER,Kraftwerk Münster::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),11,Stadtbahn,0,On time
FRIEDENSTRASSE,Friedenstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,19,Bus,0,On time
WOLFBUSCH,Wolfbusch::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,7,Stadtbahn,0,On time
KRAFTWERK_MÜNSTER,Kraftwerk Münster::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,33,Stadtbahn,0,On time
FRIEDENSTRASSE,Friedenstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,19,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U13E,Eszet,Bad Cannstatt Wilhelmsplatz,U13E:Eszet-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
KRAFTWERK_MÜNSTER,Kraftwerk Münster::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),11,Stadtbahn,0,On time
FRIEDENSTRASSE,Friedenstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,22,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,13,Bus,0,On time
KRAFTWERK_MÜNSTER,Kraftwerk Münster::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,33,Stadtbahn,1,Delayed
RASTATTER_STRASSE,Rastatter Straße::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,52,Stadtbahn,0,On time
FRIEDENSTRASSE,Friedenstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,22,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
RASTATTER_STRASSE,Rastatter Straße::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,8,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,8,Bus,0,On time
FRIEDENSTRASSE,Friedenstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,19,Bus,0,On time
MÜHLSTEG,Mühlsteg::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),12,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
LANDAUER_STRASSE,Landauer Straße::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,11,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,13,Bus,0,On time
MÜHLSTEG,Mühlsteg::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,31,Stadtbahn,0,On time
LANDAUER_STRASSE,Landauer Straße::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,50,Stadtbahn,0,On time
URACHSTRASSE,Urachstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,23,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,8,Bus,0,On time
MÜHLSTEG,Mühlsteg::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),12,Stadtbahn,0,On time
LANDAUER_STRASSE,Landauer Straße::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,11,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U13E,Eszet,Bad Cannstatt Wilhelmsplatz,U13E:Eszet-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
URACHSTRASSE,Urachstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,18,Bus,0,On time
MÜHLSTEG,Mühlsteg::1,U14,Mühlhausen (Stgt.),Vaihingen Bahnhof,U14:Mühlhausen (Stgt.)-Vaihingen Bahnhof,31,Stadtbahn,1,Delayed
AUGSBURGER_PLATZ,Augsburger Platz::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,13,Bus,0,On time
URACHSTRASSE,Urachstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,23,Bus,0,On time
FEUERBACH_PFOSTENWÄLDLE,Feuerbach Pfostenwäldle::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,13,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
FEUERBACH_PFOSTENWÄLDLE,Feuerbach Pfostenwäldle::1,U13,Feuerbach Pfostenwäldle,Mercedesstraße,U13:Feuerbach Pfostenwäldle-Mercedesstraße,19,Stadtbahn,0,On time
SUTTNERSTRASSE,Suttnerstraße::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,3,Stadtbahn,0,On time
URACHSTRASSE,Urachstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,18,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::5,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,6,Bus,0,On time
URACHSTRASSE,Urachstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,23,Bus,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,13,Bus,0,On time
SUTTNERSTRASSE,Suttnerstraße::1,U7,Mönchfeld,Ostfildern Nellingen,U7:Mönchfeld-Ostfildern Nellingen,50,Stadtbahn,0,On time
FEUERBACH_PFOSTENWÄLDLE,Feuerbach Pfostenwäldle::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,48,Stadtbahn,0,On time
SUTTNERSTRASSE,Suttnerstraße::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,3,Stadtbahn,0,On time
AUGSBURGER_PLATZ,Augsburger Platz::4,U13E,Bad Cannstatt Wilhelmsplatz,Eszet,U13E:Bad Cannstatt Wilhelmsplatz-Eszet,8,Bus,0,On time
FEUERBACH_PFOSTENWÄLDLE,Feuerbach Pfostenwäldle::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,13,Stadtbahn,0,On time
URACHSTRASSE,Urachstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,18,Bus,0,On time
FEUERBACH_PFOSTENWÄLDLE,Feuerbach Pfostenwäldle::1,U13,Feuerbach Pfostenwäldle,Mercedesstraße,U13:Feuerbach Pfostenwäldle-Mercedesstraße,19,Stadtbahn,0,On time
SUTTNERSTRASSE,Suttnerstraße::1,U7,Mönchfeld,Ostfildern Nellingen,U7:Mönchfeld-Ostfildern Nellingen,50,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::7,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,11,Bus,0,On time
SCHWARENBERGSTRASSE,Schwarenbergstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,10,Bus,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,8,Bus,0,On time
HIMMELSLEITER,Himmelsleiter::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,4,Stadtbahn,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,47,Stadtbahn,0,On time
SCHWARENBERGSTRASSE,Schwarenbergstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,25,Bus,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,14,Stadtbahn,0,On time
HIMMELSLEITER,Himmelsleiter::1,U7,Mönchfeld,Ostfildern Nellingen,U7:Mönchfeld-Ostfildern Nellingen,49,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::Gleis 1,S2,Schorndorf,Stuttgart Hauptbahnhof (oben),S2:Schorndorf-Stuttgart Hauptbahnhof (oben),9,S-Bahn,0,On time
SCHWARENBERGSTRASSE,Schwarenbergstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,10,Bus,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::2,U13,Mercedesstraße,Feuerbach Pfostenwäldle,U13:Mercedesstraße-Feuerbach Pfostenwäldle,1,Stadtbahn,0,On time
HIMMELSLEITER,Himmelsleiter::2,U7,Nellingen Ostfildern,Mönchfeld,U7:Nellingen Ostfildern-Mönchfeld,4,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::7,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,11,Bus,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::1,U13,Feuerbach Pfostenwäldle,Mercedesstraße,U13:Feuerbach Pfostenwäldle-Mercedesstraße,18,Stadtbahn,0,On time
SCHWARENBERGSTRASSE,Schwarenbergstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,25,Bus,0,On time
HIMMELSLEITER,Himmelsleiter::1,U7,Mönchfeld,Ostfildern Nellingen,U7:Mönchfeld-Ostfildern Nellingen,49,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,8,Bus,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::1,U6,Gerlingen,Flughafen/Messe,U6:Gerlingen-Flughafen/Messe,47,Stadtbahn,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::2,U6,Flughafen/Messe,Gerlingen,U6:Flughafen/Messe-Gerlingen,14,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::Gleis 1,S3,Backnang,Stuttgart Hauptbahnhof (oben),S3:Backnang-Stuttgart Hauptbahnhof (oben),10,S-Bahn,0,On time
MITTNACHTSTRASSE,Mittnachtstraße::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,22,Stadtbahn,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::2,U13,Mercedesstraße,Feuerbach Pfostenwäldle,U13:Mercedesstraße-Feuerbach Pfostenwäldle,1,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::7,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,11,Bus,0,On time
MITTNACHTSTRASSE,Mittnachtstraße::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,30,Stadtbahn,0,On time
WILHELMSBAU,Wilhelmsbau::3,43,Feuersee,Pragsattel,43:Feuersee-Pragsattel,14,Bus,0,On time
SPORTPARK_FEUERBACH,Sportpark Feuerbach::1,U13,Feuerbach Pfostenwäldle,Mercedesstraße,U13:Feuerbach Pfostenwäldle-Mercedesstraße,18,Stadtbahn,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::3,U1E,Fellb. Lutherkirche,Bad Cannstatt Wilhelmsplatz,U1E:Fellb. Lutherkirche-Bad Cannstatt Wilhelmsplatz,8,Bus,0,On time
WILHELMSBAU,Wilhelmsbau::4,43,Pragsattel,Feuersee,43:Pragsattel-Feuersee,3,Bus,0,On time
NÜRNBERGER_STRASSE,Nürnberger Straße::7,U1E,Bad Cannstatt Wilhelmsplatz,Fellb. Lutherkirche,U1E:Bad Cannstatt Wilhelmsplatz-Fellb. Lutherkirche,11,Bus,0,On time
